"","Chr","Start","End","Strand","Length","wt00_sorted.bam","wt02_sorted.bam","wt05_sorted.bam","wt10_sorted.bam","wt15_sorted.bam","wt20_sorted.bam","wt30_sorted.bam","wt45_sorted.bam"
"YJL080C","X","285558","289226","-",3669,340,269,692,1775,2062,2573,3937,3578
"YJL079C","X","289875","290774","-",900,375,438,400,470,422,503,618,750
"YJL078C","X","291336","293981","-",2646,474,396,464,694,416,333,615,679
"YJL077W-B","X","294047","294145","+",99,35,39,20,20,12,6,12,14
"YJL077C","X","294666","295061","-",396,8,13,5,7,7,3,3,4
"YJL077W-A","X","294799","294885","+",87,62,42,64,43,34,36,28,32
"YJL076W","X","295245","298814","+",3570,689,545,913,1672,1543,1799,2120,1643
"YJL074C","X","299157","302849","-",3693,98,106,133,506,938,958,1074,767
"YJL073W","X","303181","305118","+",1938,113,118,228,363,410,458,542,414
"YJL072C","X","305221","305862","-",642,72,81,127,205,195,137,195,151
"YJL071W","X","306132","307856","+",1725,200,155,256,363,267,274,278,218
"YJL070C","X","307971","310637","-",2667,1046,870,865,906,648,370,132,197
"YJL069C","X","310922","312706","-",1785,10,16,498,756,772,1139,1212,540
"YJL068C","X","313016","313915","-",900,1264,1284,1153,837,598,559,569,519
"YJL066C","X","314114","314872","-",759,1281,1175,649,234,121,83,68,123
"YJL065C","X","315054","315557","-",504,137,137,140,136,121,128,128,124
"YJL063C","X","315759","316475","-",717,449,380,296,241,176,189,181,166
"YJL062W-A","X","316723","316980","+",258,287,277,212,130,95,90,81,74
"YJL062W","X","317284","319776","+",2493,180,157,253,274,274,336,453,463
"YJL061W","X","320016","322157","+",2142,648,568,742,982,834,819,811,671
"YJL060W","X","323386","324720","+",1335,367,356,1107,4549,3627,1703,260,167
"YJL059W","X","324964","326190","+",1227,328,301,251,154,123,131,166,193
"YJL058C","X","326242","327873","-",1632,92,80,147,138,130,121,106,107
"YJL057C","X","328118","330121","-",2004,1301,1208,702,318,177,110,105,244
"YJL056C","X","330431","333073","-",2643,181,160,601,704,507,578,758,1033
"YJL055W","X","333357","334094","+",738,1327,1244,1348,1166,930,914,1129,1326
"YJL054W","X","334265","335701","+",1437,579,547,617,639,589,584,669,545
"YJL053W","X","335898","337037","+",1140,836,762,592,471,439,347,312,259
"YJL052W","X","338271","339269","+",999,14575,13756,12866,8360,5839,5291,4250,2873
"YJL051W","X","339787","342255","+",2469,169,127,111,222,263,328,384,429
"YJL050W","X","342522","345743","+",3222,6,13,372,1336,1432,2196,3015,1507
"YJL049W","X","345973","347325","+",1353,436,441,428,380,330,269,285,308
"YJL048C","X","347447","348637","-",1191,2106,2080,1741,797,425,280,273,299
"YJL047C-A","X","349044","349178","-",135,7,5,0,1,2,0,1,5
"YJL047C","X","349580","352108","-",2529,536,567,578,377,279,276,311,252
"YJL046W","X","352386","353615","+",1230,438,380,240,182,206,209,194,141
"YJL045W","X","356024","357928","+",1905,89,90,84,53,50,30,29,9
"YJL044C","X","358300","359676","-",1377,979,984,973,796,552,511,611,545
"YJL043W","X","360130","360903","+",774,3,0,3,0,3,2,2,2
"YJL042W","X","361249","365445","+",4197,2214,1983,1193,798,616,607,836,989
"YJL041W","X","365903","368373","+",2471,1053,941,1184,1328,1141,1249,1470,1184
"YJL039C","X","368748","373799","-",5052,752,665,618,1196,1120,1226,1512,1420
"YJL038C","X","375115","375774","-",660,0,0,0,2,1,1,6,5
"YJL037W","X","376662","377336","+",675,11,23,18,17,11,7,8,4
"YJL036W","X","378825","380096","+",1272,1253,1103,724,369,228,204,181,296
"YJL035C","X","380249","381001","-",753,20,8,20,34,49,44,75,80
"YJL034W","X","381327","383375","+",2049,1407,1346,1365,1375,1572,2158,3609,4778
"YJL033W","X","383837","386149","+",2313,21,23,354,935,905,1332,1707,634
"YJL031C","X;X","386368;387436","387348;387438","-;-",984,670,734,591,532,366,295,295,303
"YJL030W","X","387657","388247","+",591,153,188,221,294,204,176,152,194
"YJL029C","X","388385","390853","-",2469,619,593,552,428,365,432,557,600
"YJL026W","X","392404","393603","+",1200,3002,2811,3087,2480,1968,2479,3786,4264
"YJL025W","X","393967","395511","+",1545,88,69,239,233,205,283,298,191
"YJL024C","X;X","395931;396571","396493;396592","-;-",585,143,159,185,263,217,249,265,201
"YJL023C","X","397355","398398","-",1044,524,588,475,250,172,145,132,141
"YJL020C","X","398937","402410","-",3474,5247,4862,3956,1641,994,837,885,1078
"YJL020W-A","X","400981","401238","+",258,9,4,4,4,1,2,3,2
"YJL019W","X","402897","404945","+",2049,111,118,88,231,278,341,398,351
"YJL016W","X","405588","407273","+",1686,2548,2149,1983,726,508,400,478,499
"YJL014W","X","407558","409162","+",1605,713,638,983,1450,1440,1632,2064,1558
"YJL013C","X","409493","411040","-",1548,366,324,280,320,280,261,302,322
"YJL012C","X","411234","413399","-",2166,1367,1257,1980,5663,7982,10663,12361,6589
"YJL011C","X","414285","414770","-",486,5,20,87,219,184,202,201,170
"YJL010C","X","417562","419562","-",2001,37,48,298,722,737,985,1031,540
"YJL008C","X","419957","421663","-",1707,1024,998,1214,1451,1432,1816,2274,1660
"YJL006C","X","423138","424109","-",972,96,97,138,164,167,150,165,173
"YJL005W","X","425157","431237","+",6081,2988,2620,1925,1238,691,642,748,1169
"YJL004C","X","431589","432200","-",612,376,374,340,280,288,239,265,315
"YJL003W","X","432644","433000","+",357,324,286,201,161,117,129,111,94
"YJL002C","X","433221","434651","-",1431,605,613,775,1104,1291,1535,2159,2125
"YJL001W","X;X","435163;435344","435227;435926","+;+",648,1500,1529,1281,990,729,755,707,654
"YJR001W","X","436802","438610","+",1809,846,761,598,479,484,545,818,861
"YJR002W","X","438865","440646","+",1782,134,117,453,1053,1016,1457,1917,931
"YJR003C","X","440994","442553","-",1560,119,114,436,537,461,451,477,360
"YJR004C","X","442909","444861","-",1953,275,262,310,263,171,156,190,181
"YJR005W","X","445923","448025","+",2103,1148,941,612,522,467,454,534,548
"YJR005C-A","X","448477","448758","-",282,3,3,1,2,1,2,2,2
"YJR006W","X","449202","450665","+",1464,416,416,375,452,411,495,604,511
"YJR007W","X","451020","451934","+",915,520,458,1095,1601,1465,1680,1849,1286
"YJR008W","X","452430","453446","+",1017,4181,3783,1575,841,377,243,225,266
"YJR009C","X","453683","454681","-",999,6241,6089,6024,9693,16623,23909,29994,24197
"YJR010W","X","456239","457774","+",1536,175,128,418,8845,14317,10635,2624,166
"YJR010C-A","X","458077","458361","-",285,50,65,72,52,55,71,119,110
"YJR011C","X","458641","459426","-",786,173,192,170,205,153,140,125,129
"YJR012C","X","459795","460418","-",624,182,151,117,129,97,111,95,91
"YJR013W","X","460382","461593","+",1212,339,336,356,291,286,259,303,238
"YJR014W","X","461829","462425","+",597,626,611,806,1044,973,1041,1305,997
"YJR015W","X","462721","464253","+",1533,511,601,635,613,482,600,1000,960
"YJR016C","X","464451","466208","-",1758,68,73,493,1436,1833,2946,5052,3466
"YJR017C","X","466521","467033","-",513,444,439,429,362,275,330,375,345
"YJR018W","X","466786","467148","+",363,1,1,0,5,2,1,1,3
"YJR019C","X","467232","468281","-",1050,331,312,187,110,90,69,70,79
"YJR020W","X","468001","468333","+",333,8,10,4,7,3,6,5,8
"YJR021C","X;X","468555;469264","469183;469579","-;-",945,395,372,250,158,103,98,126,113
"YJR022W","X","469784","470113","+",330,94,78,66,77,69,50,48,70
"YJR023C","X","469804","470205","-",402,5,7,6,7,7,7,7,7
"YJR024C","X","470230","470964","-",735,151,175,171,240,251,281,366,341
"YJR025C","X","471138","471671","-",534,490,414,408,316,231,175,239,324
"YJR027W","X","472760","478028","+",5269,2990,2742,2726,2614,2548,2944,3161,2961
"YJR029W","X","478344","483612","+",5269,4470,4322,4253,4099,3954,4443,5214,4611
"YJR030C","X","483959","486196","-",2238,133,101,93,350,489,429,530,446
"YJR031C","X","486586","490812","-",4227,204,200,305,564,633,834,1244,932
"YJR032W","X","491081","492262","+",1182,91,105,202,429,505,540,642,381
"YJR033C","X","492378","496451","-",4074,1233,1178,958,596,480,418,437,456
"YJR034W","X","496683","497009","+",327,251,234,169,94,71,82,77,61
"YJR035W","X","497355","500612","+",3258,754,701,776,576,390,331,314,302
"YJR036C","X","500713","503391","-",2679,922,925,537,206,110,60,91,136
"YJR038C","X","503710","504072","-",363,7,6,5,3,2,0,0,0
"YJR039W","X","503936","507301","+",3366,1327,1042,473,259,147,134,134,200
"YJR040W","X","507746","510085","+",2340,247,234,378,417,373,361,418,425
"YJR041C","X","510239","513763","-",3525,21,24,290,834,575,929,967,574
"YJR042W","X","514055","516289","+",2235,405,418,604,923,856,884,1215,908
"YJR043C","X","516461","517513","-",1053,47,63,142,315,368,390,400,321
"YJR044C","X","518763","519185","-",423,860,819,754,554,376,335,254,306
"YJR045C","X","519638","521602","-",1965,6859,5833,4538,2691,2327,2620,3150,3484
"YJR046W","X","522048","523862","+",1815,116,105,232,230,234,285,336,277
"YJR047C","X","524908","525381","-",474,8,14,29,39,43,84,316,389
"YJR048W","X","526335","526664","+",330,194,156,184,129,93,84,177,226
"YJR049C","X","526884","528476","-",1593,1114,979,1067,846,639,630,647,521
"YJR050W","X","528697","529404","+",708,352,324,256,190,123,114,162,128
"YJR051W","X","529861","531366","+",1506,773,770,707,632,608,538,533,448
"YJR052W","X","532062","533759","+",1698,362,350,544,430,323,301,280,220
"YJR053W","X","534027","535751","+",1725,47,64,86,116,183,173,187,185
"YJR054W","X","536056","537549","+",1494,78,59,233,474,479,500,428,399
"YJR055W","X","538772","539266","+",495,11,19,53,74,67,67,49,34
"YJR056C","X","541792","542502","-",711,316,299,224,170,136,141,169,147
"YJR057W","X","544062","544712","+",651,154,148,157,192,214,239,305,250
"YJR058C","X","544732","545175","-",444,251,241,221,179,156,135,156,153
"YJR059W","X","545787","548243","+",2457,1996,1826,1512,850,534,534,708,912
"YJR060W","X","548759","549814","+",1056,526,503,649,1143,1151,1274,1179,660
"YJR061W","X","550511","553318","+",2808,234,192,256,206,167,206,330,253
"YJR062C","X","553476","554849","-",1374,660,693,646,481,272,240,226,252
"YJR063W","X","555195","555572","+",378,10,20,180,302,322,384,414,282
"YJR064W","X","555914","557602","+",1689,313,361,787,1475,1598,1961,2474,1810
"YJR065C","X","557809","559158","-",1350,2445,2377,2250,1659,1318,1244,1311,1371
"YJR066W","X","559416","566828","+",7413,1143,926,766,871,550,557,503,548
"YJR067C","X","567019","567444","-",426,72,71,106,117,111,131,137,122
"YJR068W","X","567643","568704","+",1062,480,475,495,504,465,567,615,502
"YJR069C","X","568806","569399","-",594,60,79,189,319,399,461,619,472
"YJR070C","X","569621","570598","-",978,32,44,343,867,1065,1809,2708,1121
"YJR072C","X","570967","572124","-",1158,159,155,297,460,537,794,1097,552
"YJR073C","X","572315","572935","-",621,2430,2437,2314,2428,2191,2459,3257,3192
"YJR074W","X","573095","573751","+",657,193,162,200,373,312,342,421,369
"YJR075W","X","573981","575171","+",1191,310,293,534,723,779,934,1155,979
"YJR076C","X","575354","576601","-",1248,609,526,650,910,848,962,1160,1028
"YJR077C","X","577255","578190","-",936,1658,1552,1845,1738,1195,1116,984,878
"YJR078W","X","578860","580221","+",1362,15,32,62,120,122,75,35,18
"YJR079W","X;X","580205;581053","580347;581239","+;+",330,2,2,8,18,9,9,2,1
"YJR080C","X","580432","581616","-",1185,1223,1206,937,770,508,511,536,396
"YJR082C","X","581914","582255","-",342,179,179,230,384,324,272,285,261
"YJR083C","X","582608","583537","-",930,438,392,271,176,148,153,186,182
"YJR084W","X","583733","585004","+",1272,359,304,326,230,167,173,228,201
"YJR085C","X","585120","585437","-",318,1352,1288,1208,954,583,405,403,388
"YJR086W","X","586068","586400","+",333,380,324,234,253,170,155,167,173
"YJR087W","X","586400","586750","+",351,27,32,19,6,13,7,12,25
"YJR088C","X","586495","587373","-",879,498,487,590,694,714,698,762,628
"YJR089W","X","587718","590582","+",2865,410,390,619,655,541,559,527,454
"YJR090C","X","590872","594327","-",3456,1029,899,718,739,606,635,650,697
"YJR091C","X","595061","598336","-",3276,2106,1918,1401,688,437,339,437,600
"YJR092W","X","598735","603078","+",4344,336,322,262,965,1449,1750,1803,1670
"YJR093C","X","603220","604203","-",984,440,342,311,309,237,191,235,172
"YJR094C","X","604569","605651","-",1083,171,158,179,103,71,72,102,94
"IRT1","X","605936","607424","-",1489,258,213,607,185,87,74,58,42
"YJR094W-A","X;X","608305;608582","608306;608858","+;+",279,107,118,223,652,892,1259,2270,2450
"YJR095W","X","609773","610741","+",969,315,589,385,91,18,13,3,5
"YJR096W","X","611195","612043","+",849,2741,2717,2041,969,368,224,175,166
"YJR097W","X","612413","612931","+",519,0,0,27,61,85,131,146,62
"YJR098C","X","613186","615156","-",1971,310,297,223,127,135,126,109,107
"YJR099W","X","615576","616286","+",711,500,479,436,285,259,212,202,174
"YJR100C","X","616351","617334","-",984,544,515,458,309,283,230,187,259
"YJR101W","X","618234","619034","+",801,487,451,300,279,254,239,288,294
"YJR102C","X","619157","619765","-",609,255,259,271,188,138,133,111,129
"YJR103W","X","620754","622490","+",1737,1328,1392,1149,703,446,395,397,384
"YJR104C","X","622550","623014","-",465,8606,7940,6178,3774,2584,2407,3218,4283
"YJR105W","X","623581","624603","+",1023,363,378,684,1785,2169,2925,4493,4623
"YJR106W","X","624838","627015","+",2178,392,331,369,298,160,148,182,187
"YJR107W","X","627340","628326","+",987,163,121,132,152,115,126,150,167
"YJR108W","X","628712","629083","+",372,20,13,13,10,5,6,5,9
"YJR109C","X","629585","632941","-",3357,390,364,1096,2750,2559,2014,3069,1853
"YJR110W","X","633615","635681","+",2067,261,278,367,415,335,316,322,428
"YJR111C","X","635855","636706","-",852,80,89,193,220,132,114,196,100
"YJR112W","X","637030","637635","+",606,13,6,75,95,127,178,190,160
"YJR112W-A","X;X","637790;637859","637809;638168","+;+",330,134,118,108,117,83,81,92,75
"YJR113C","X","638232","638975","-",744,956,819,379,247,216,195,200,183
"YJR114W","X","638659","639051","+",393,0,5,1,1,2,1,0,1
"YJR115W","X","639942","640451","+",510,398,280,63,19,13,16,21,17
"YJR116W","X","640825","641664","+",840,60,55,47,104,99,107,121,91
"YJR117W","X","642007","643368","+",1362,1169,1028,938,678,606,700,940,872
"YJR118C","X","643490","644101","-",612,363,363,305,283,342,364,462,465
"YJR119C","X","644304","646490","-",2187,123,92,213,154,127,147,170,136
"YJR120W","X","647126","647476","+",351,125,104,98,60,22,17,20,31
"YJR121W","X","647607","649142","+",1536,15256,14566,12217,7331,4144,3145,2917,4866
"YJR122W","X","649776","651269","+",1494,758,691,344,203,213,162,216,169
"YJR123W","X","651901","652578","+",678,368,375,1052,3493,5177,7983,16081,23103
"YJR124C","X","652892","654238","-",1347,10,17,96,190,198,281,396,280
"YJR125C","X","654737","655963","-",1227,1901,1847,1478,1198,983,855,747,701
"YJR126C","X","656254","658689","-",2436,1132,1139,1134,865,642,618,692,714
"YJR127C","X","658917","663059","-",4143,865,732,807,635,500,688,1072,1276
"YJR129C","X","664000","665019","-",1020,25,39,53,101,74,106,126,77
"YJR130C","X","665218","667137","-",1920,1194,1135,908,543,425,404,498,372
"YJR131W","X","667644","669293","+",1650,421,376,347,290,251,260,300,256
"YJR132W","X","669522","672668","+",3147,305,247,359,785,758,892,1104,798
"YJR133W","X","672991","673620","+",630,365,338,328,451,461,487,512,335
"YJR134C","X","673729","675852","-",2124,991,959,992,846,667,677,804,791
"YJR135C","X","676059","676778","-",720,113,121,100,117,86,83,95,76
"YJR135W-A","X","676971","677234","+",264,339,330,320,273,232,235,246,191
"YJR136C","X","677441","678706","-",1266,179,171,175,180,148,135,170,159
"YJR137C","X","678957","683285","-",4329,366,347,712,11364,16740,6844,973,395
"YJR138W","X","684567","689321","+",4755,586,506,606,865,640,584,608,605
"YJR139C","X","689445","690524","-",1080,2512,2493,2567,2822,2621,2514,2872,2788
"YJR140C","X","690750","695696","-",4947,360,325,366,567,517,611,650,571
"YJR141W","X","695906","696949","+",1044,178,173,182,192,186,212,215,200
"YJR142W","X","697141","698169","+",1029,1087,959,910,610,446,428,474,416
"YJR143C","X","698326","700614","-",2289,361,310,449,785,1137,1597,2578,2770
"YJR144W","X","700882","701691","+",810,302,304,354,541,519,562,641,543
"YJR145C","X;X","702027;703055","702798;703068","-;-",786,131,129,515,1753,2477,4092,8401,10067
"YJR146W","X","703885","704238","+",354,5,3,1,2,4,5,12,4
"YJR147W","X","704196","705272","+",1077,67,70,117,116,99,128,280,326
"YJR148W","X","705744","706874","+",1131,11582,11694,15189,12231,7062,5310,3095,959
"YJR149W","X","707160","708374","+",1215,531,550,689,488,146,77,70,91
"YJR151C","X","712255","715740","-",3486,646,563,258,163,107,92,135,149
"YJR152W","X","719666","721297","+",1632,194,168,400,314,164,88,101,105
"YJR153W","X","722815","723900","+",1086,24,24,15,12,18,4,11,14
"YJR154W","X","725784","726824","+",1041,37,32,136,373,128,79,62,56
"YJR155W","X","727405","728271","+",867,323,269,235,477,162,111,91,68
"YJR156C","X","728574","729596","-",1023,66,49,51,18,12,20,24,16
"YJR158W","X","732440","734143","+",1704,24,13,8,0,0,1,0,0
"YJR159W","X","736044","737117","+",1074,36,32,16,4,11,8,10,12
"YJR160C","X","738008","739816","-",1809,38,35,21,19,15,18,28,44
"YJR161C","X","742848","743999","-",1152,491,473,452,298,161,132,164,192
"YKL222C","XI","3503","5620","-",2118,313,324,330,303,199,210,232,232
"YKL221W","XI","6107","7528","+",1422,10,15,11,7,3,4,4,5
"YKL220C","XI","9091","11226","-",2136,160,141,94,82,49,37,68,73
"YKL219W","XI","14485","15708","+",1224,227,244,316,311,263,195,259,260
"YKL218C","XI","17359","18339","-",981,638,609,826,1453,1416,1025,409,126
"YKL217W","XI","22234","24084","+",1851,11480,10270,2965,251,128,44,29,28
"YKL216W","XI","25215","26159","+",945,12,14,136,414,526,756,1456,848
"YKL215C","XI","26827","30687","-",3861,1001,896,704,642,580,607,745,655
"YKL214C","XI","31082","31693","-",612,221,243,249,264,241,216,288,255
"YKL213C","XI","31960","34107","-",2148,1268,1219,1427,880,586,577,623,630
"YKL212W","XI","34543","36414","+",1872,676,521,1144,1539,1481,1805,2204,1920
"YKL211C","XI","36699","38153","-",1455,196,176,445,841,896,935,1004,812
"YKL210W","XI","39163","42237","+",3075,4862,4339,3927,3223,2753,3030,3275,2883
"YKL209C","XI","42423","46295","-",3873,1079,840,1014,1811,2290,2577,2727,2389
"tT(CGU)K","XI","46735","46806","-",72,6,4,1,0,0,1,1,0
"YKL208W","XI","47157","47972","+",816,284,264,235,165,122,91,98,93
"YKL207W","XI","48194","48955","+",762,669,648,684,561,453,471,513,534
"YKL206C","XI","49006","49809","-",804,263,274,272,250,209,189,217,207
"YKL205W","XI","50051","53353","+",3303,188,167,504,956,792,1068,1289,918
"YKL204W","XI","53704","55602","+",1899,1331,1167,850,612,488,557,522,454
"YKL203C","XI","55935","63359","-",7425,1096,936,525,769,706,667,718,755
"YKL202W","XI","63821","64402","+",582,253,189,211,321,411,163,78,83
"YKL201C","XI","63930","67466","-",3537,868,691,837,1274,1689,647,265,250
"YKL198C","XI","68232","70220","-",1989,341,293,413,206,144,187,263,226
"YKL197C","XI","70734","73865","-",3132,893,859,727,445,349,295,278,237
"YKL196C","XI","74932","75534","-",603,757,757,746,834,829,797,794,806
"YKL195W","XI","75821","77032","+",1212,4136,3279,1392,1189,904,765,724,841
"YKL194C","XI","77258","78646","-",1389,307,235,217,201,180,143,170,150
"YKL193C","XI","78866","79882","-",1017,1635,1575,976,479,388,343,293,394
"YKL192C","XI","80160","80537","-",378,823,861,704,443,334,333,330,343
"YKL191W","XI","81035","82639","+",1605,79,96,202,347,391,569,811,431
"YKL190W","XI;XI","82947;83075","82998;83550","+;+",528,245,298,448,522,436,462,539,476
"YKL189W","XI","84704","85903","+",1200,494,354,235,203,153,148,184,175
"YKL188C","XI","86225","88786","-",2562,1265,1159,745,208,108,63,73,63
"YKL187C","XI","89284","91536","-",2253,2062,2081,1138,85,28,33,56,78
"YKL186C","XI","92744","93298","-",555,289,290,380,320,246,309,345,320
"YKL185W","XI","94499","96265","+",1767,896,780,1373,853,671,903,994,989
"YKL184W","XI","96757","98157","+",1401,393,365,554,662,536,631,795,620
"YKL183W","XI","98721","99641","+",921,134,119,190,267,235,239,286,194
"YKL182W","XI","100671","106826","+",6156,2100,1922,1886,11545,14075,13400,14357,16579
"YKL181W","XI","107316","108599","+",1284,280,310,923,1516,1533,1961,2713,2220
"YKL180W","XI;XI","109269;109884","109577;110129","+;+",555,198,186,487,1384,1973,3290,6344,7108
"YKL179C","XI","110464","112503","-",2040,862,851,722,628,633,612,722,730
"YKL178C","XI","113215","114627","-",1413,26,45,32,29,28,17,35,31
"YKL177W","XI","114356","114694","+",339,7,3,4,3,1,3,2,5
"YKL176C","XI","115500","117986","-",2487,761,690,839,867,621,693,874,893
"YKL175W","XI","118793","120304","+",1512,488,443,877,1009,732,704,900,1503
"YKL174C","XI","120380","122236","-",1857,304,282,553,605,442,418,485,443
"YKL173W","XI","122517","125543","+",3027,453,445,644,637,495,493,552,560
"YKL172W","XI","125759","127042","+",1284,50,111,1166,2507,2581,3179,3683,1977
"YKL171W","XI","127475","130261","+",2787,2351,1622,694,211,179,200,205,239
"YKL170W","XI","130634","131050","+",417,504,513,223,204,157,132,150,163
"YKL169C","XI","130685","131068","-",384,1,5,5,2,1,1,4,9
"YKL168C","XI","131288","133462","-",2175,820,774,481,264,199,164,192,210
"YKL167C","XI","133721","134134","-",414,354,370,226,249,161,131,136,132
"YKL166C","XI","134509","135705","-",1197,56,53,174,375,408,421,490,403
"YKL165C-A","XI","135790","136023","-",234,0,1,2,4,2,10,5,8
"YKL165C","XI","137932","140691","-",2760,108,77,155,520,701,770,933,941
"YKL164C","XI","141794","142819","-",1026,2568,2408,2057,3249,2218,2256,2262,1797
"YKL163W","XI","144401","145378","+",978,163,127,88,81,44,34,34,50
"YKL162C-A","XI","145922","146074","-",153,8,4,2,9,2,4,1,2
"YKL162C","XI","147630","148838","-",1209,392,317,203,102,69,42,51,57
"YKL161C","XI","149386","150687","-",1302,163,156,221,425,277,204,186,144
"YKL160W","XI","153269","153706","+",438,1141,1147,1077,854,676,630,750,597
"YKL159C","XI","153816","154451","-",636,75,70,156,157,90,91,83,53
"YKL157W","XI;XI","154991;155655","155271;158232","+;+",2859,4959,4652,4408,3338,2394,2280,2001,1684
"YKL156W","XI;XI","158613;158967","158615;159212","+;+",249,96,110,362,847,971,1329,1888,1703
"YKL155C","XI","159456","161342","-",1887,324,305,413,425,332,314,307,268
"YKL154W","XI","161601","162335","+",735,90,85,203,275,307,326,409,369
"YKL153W","XI","163600","164109","+",510,3,3,6,9,6,4,14,9
"YKL152C","XI","163642","164385","-",744,10263,9846,8718,11593,16534,22014,32048,38356
"YKL151C","XI","164917","165930","-",1014,2433,2363,1886,1191,636,401,225,201
"YKL150W","XI","166544","167452","+",909,4970,4678,3068,1664,841,561,441,781
"YKL149C","XI","167612","168829","-",1218,230,231,190,152,134,141,173,190
"YKL148C","XI","169207","171129","-",1923,6449,5964,3703,966,268,126,106,357
"YKL147C","XI","171551","172168","-",618,5,5,2,0,2,0,0,0
"YKL146W","XI","171783","173861","+",2079,1610,1423,813,394,323,317,338,350
"YKL145W","XI","174213","175616","+",1404,2099,2072,1992,1722,1491,1548,1732,1434
"YKL144C","XI","175843","176481","-",639,13,23,127,336,320,410,447,242
"YKL143W","XI","176781","178172","+",1392,41,37,304,877,933,1359,1659,679
"YKL142W","XI","178515","179174","+",660,4825,5154,4150,2477,1130,646,435,694
"YKL141W","XI","179667","180263","+",597,3251,3305,2395,1261,557,325,284,464
"YKL140W","XI","180779","182425","+",1647,1097,1084,917,620,488,429,495,609
"YKL139W","XI","182958","184544","+",1587,311,299,477,409,302,358,380,342
"YKL138C-A","XI","184803","185012","-",210,149,131,149,171,153,146,173,132
"YKL138C","XI","185286","185681","-",396,485,473,395,288,216,236,192,199
"YKL137W","XI","185957","186292","+",336,466,516,310,223,156,127,138,144
"YKL136W","XI","186416","186814","+",399,50,59,21,36,26,15,14,23
"YKL135C","XI","186460","188640","-",2181,1266,1163,1186,859,703,640,656,647
"YKL134C","XI","189124","191442","-",2319,271,210,262,256,224,213,232,234
"YKL133C","XI","191679","193070","-",1392,1257,1171,821,378,191,108,102,116
"YKL132C","XI","193574","194866","-",1293,47,45,99,97,60,88,123,106
"YKL130C","XI","195288","196028","-",741,158,140,160,222,212,217,273,219
"YKL129C","XI","196349","200167","-",3819,1628,1532,1132,750,508,396,421,494
"YKL128C","XI","200884","201771","-",888,123,115,319,639,634,644,823,634
"YKL127W","XI","203541","205253","+",1713,173,174,184,228,210,294,641,757
"YKL126W","XI","205707","207749","+",2043,1544,1499,1335,1092,899,870,1047,1127
"YKL125W","XI","208247","210130","+",1884,164,137,456,401,347,474,566,448
"YKL124W","XI","210593","212332","+",1740,602,461,340,339,233,147,106,116
"YKL123W","XI","212043","212423","+",381,46,29,26,15,19,10,6,7
"YKL122C","XI","212495","212998","-",504,323,330,452,574,501,596,702,657
"YKL121W","XI","214142","216700","+",2559,971,974,736,440,238,185,239,258
"YKL120W","XI","217344","218318","+",975,26,38,262,312,469,597,422,201
"YKL119C","XI","218570","219217","-",648,232,254,270,275,252,279,290,280
"YKL117W","XI","220324","220974","+",651,3736,3693,3321,2768,2055,1908,1979,2045
"YKL116C","XI","221344","222900","-",1557,205,152,200,229,207,212,268,261
"YKL115C","XI","222893","223285","-",393,8,16,16,15,18,12,23,14
"YKL114C","XI","223352","224455","-",1104,285,317,427,608,646,693,717,525
"YKL113C","XI","224727","225875","-",1149,117,132,189,519,777,985,1087,752
"YKL112W","XI","226570","228765","+",2196,463,411,498,993,1153,1230,1288,1148
"YKL111C","XI","228464","228799","-",336,1,0,4,5,5,3,3,1
"YKL110C","XI","228939","229880","-",942,173,169,240,289,286,399,530,343
"YKL109W","XI","232227","233891","+",1665,3121,2409,597,99,101,130,345,649
"YKL108W","XI","234426","235787","+",1362,115,116,117,195,262,273,314,245
"YKL107W","XI","236141","237070","+",930,220,190,125,48,15,15,3,2
"YKL106W","XI","237536","238891","+",1356,101,112,297,416,452,477,513,391
"YKL105C","XI","239185","242583","-",3399,1160,1164,862,525,408,349,509,569
"YKL104C","XI","243220","245373","-",2154,1536,1443,1490,2454,2318,2273,2106,1758
"YKL103C","XI","246138","247682","-",1545,2744,2493,2091,1227,697,443,317,438
"YKL101W","XI","248920","253476","+",4557,402,382,388,2310,2889,2660,3015,2685
"YKL100C","XI","253697","255460","-",1764,3658,3448,2427,1099,637,542,525,719
"YKL099C","XI","255720","256472","-",753,17,18,238,471,453,607,737,389
"YKL098W","XI","256770","257843","+",1074,213,208,251,249,164,172,166,158
"YKL096C-B","XI","259073","259222","-",150,16,24,15,5,2,3,5,0
"YKL096W-A","XI","259253","259531","+",279,687,607,1530,3627,3819,4970,7780,9932
"YKL096W","XI","261132","261851","+",720,206,124,537,1559,883,447,472,535
"YKL095W","XI","262277","263113","+",837,239,190,241,196,106,100,109,111
"YKL094W","XI","263349","264290","+",942,1349,1277,1173,957,706,578,505,654
"YKL093W","XI","264789","265808","+",1020,1802,1774,861,87,24,10,26,44
"YKL092C","XI","266145","269459","-",3315,643,534,490,548,532,544,674,588
"YKL091C","XI","269718","270650","-",933,2813,2405,1225,486,241,167,102,138
"YKL090W","XI","271878","273209","+",1332,146,140,191,184,148,137,180,135
"YKL089W","XI","273394","275043","+",1650,65,54,122,287,298,306,337,264
"YKL088W","XI","275283","276998","+",1716,739,592,550,576,482,463,499,461
"YKL087C","XI","277189","277863","-",675,407,314,310,231,189,147,139,163
"YKL086W","XI","278281","278664","+",384,25,23,25,10,8,3,10,6
