Compound,Pathways of compound,ChEBI,Molecular-Weight,KEGG,Object ID
PYRIDOXAL,PWY-7282 // PLPSAL-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17310'>17310</a>,167.164d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00250'>C00250</a>,PYRIDOXAL
OLEOYL-COA,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-7424 // PWY-7417 // PWY-7411 // PWY-7409 // PWY-7420 // PWY-7291 // PWY-5996,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57387'>57387</a>,1027.953,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00510'>C00510</a>,OLEOYL-COA
CPD3O-4154,,,244.143,,CPD3O-4154
GAMMA-LINOLENOYL-COA,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57363'>57363</a>,1023.921,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03035'>C03035</a>,GAMMA-LINOLENOYL-COA
CPD-15380,PWY-7282,,185.179,,CPD-15380
CPD-9965,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-7036,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57380'>57380</a>,1058.022,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02041'>C02041</a>,CPD-9965
THIAMINE,PWY-6908 // PWY-7356 // PWY-6898,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18385'>18385</a>,265.352d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00378'>C00378</a>,THIAMINE
CPD-19147,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,,971.845,,CPD-19147
THF,HSERMETANA-PWY // PWY-6121 // PWY-6613 // PWY-6124 // PWY-841 // PANTO-PWY // PWY-6614 // PWY-6612 // FOLSYN-PWY // PWY-1722 // PWY-2161 // PWY66-385 // GLYSYN-PWY // SER-GLYSYN-PWY // PWY3O-230 // PWY-2201 // PWY3O-697 // GLYCLEAV-PWY // GLYCINE-SYN2-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57453'>57453</a>,443.418,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00101'>C00101</a>,THF
CPD-19144,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87698'>87698</a>,999.899,,CPD-19144
RIBOFLAVIN,PWY-6168,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57986'>57986</a>,375.36,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00255'>C00255</a>,RIBOFLAVIN
CPD-18346,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:75121'>75121</a>,1027.953,,CPD-18346
PANTOTHENATE,PANTO-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:29032'>29032</a>,218.229,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00864'>C00864</a>,PANTOTHENATE
CPD-18,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57383'>57383</a>,1025.937,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02050'>C02050</a>,CPD-18
NIACINE,PWY3O-4107,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:32544'>32544</a>,122.103,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00253'>C00253</a>,NIACINE
CPD-17464,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65060'>65060</a>,971.845,,CPD-17464
NIACINAMIDE,PWY3O-96 // PWY-6909 // PWY-6689 // PWY3O-4107,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17154'>17154</a>,122.126d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00153'>C00153</a>,NIACINAMIDE
CPD-15436,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-7291,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84650'>84650</a>,971.845,,CPD-15436
BIOTIN,PWY0-1507 // PWY0-1264,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57586'>57586</a>,243.3,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00120'>C00120</a>,BIOTIN
CPD-14724,PWY-7119 // PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74309'>74309</a>,987.888,,CPD-14724
CPD-17347,YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76408'>76408</a>,1069.99,,CPD-17347
CPD-10279,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY-7036,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:65059'>65059</a>,1086.076,,CPD-10279
ASCORBATE,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:38290'>38290</a>,175.118,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00072'>C00072</a>,ASCORBATE
CPD-10269,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288 // PWY3O-1801,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61540'>61540</a>,999.899,,CPD-10269
ARACHIDONYL-COA,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY-5148 // YEAST-FAO-PWY // PWY-7288,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57368'>57368</a>,1049.959,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02249'>C02249</a>,ARACHIDONYL-COA
INOSITOL-1-3-4-TRIPHOSPHATE,PWY-6364 // PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58414'>58414</a>,414.049,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01243'>C01243</a>,INOSITOL-1-3-4-TRIPHOSPHATE
INOSITOL-1-4-BISPHOSPHATE,PWY-6348 // PWY-6952-1,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58282'>58282</a>,336.085,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01220'>C01220</a>,INOSITOL-1-4-BISPHOSPHATE
CPD-14763,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:142723'>142723</a>,599.341,,CPD-14763
THZ-P,PWY-6909 // PWY-6908 // PWY-7356 // PWY-7357 // PWY-7353,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58296'>58296</a>,221.167,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04327'>C04327</a>,THZ-P
CPD-15699,PWY-7269 // PWY-7245 // PWY-7269-YEAST,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6182'>6182</a>,150.131,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11476'>C11476</a>,CPD-15699
THZ,PWY-7356 // PWY-7357 // PWY-7353,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17957'>17957</a>,143.203,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C04294'>C04294</a>,THZ
CPD-14762,PWY3O-4107,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:83767'>83767</a>,599.341,,CPD-14762
CPD-15755,,,159.226,,CPD-15755
CPD-17621,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:84207'>84207</a>,1017.914,,CPD-17621
CPD-13576,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62890'>62890</a>,264.169,,CPD-13576
CPD-17367,PWY-5143 // YEAST-FAO-PWY // PWY-7288 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY // PWY3O-6407,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76415'>76415</a>,1094.012,,CPD-17367
CPD-13575,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:62899'>62899</a>,264.169,,CPD-13575
CPD-17365,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76368'>76368</a>,1075.997,,CPD-17365
CPD-7670,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17437'>17437</a>,62.129d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00580'>C00580</a>,CPD-7670
CPD-15364,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:139559'>139559</a>,1043.952,,CPD-15364
CPD-7037,PWY-5082,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:49019'>49019</a>,106.182,,CPD-7037
CPD-14772,PWY-5143 // PWY3O-6407 // PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77085'>77085</a>,1030.89,,CPD-14772
CPD-7036,PWY-5082,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:49017'>49017</a>,104.167,,CPD-7036
CPD-397,PWY-7269 // PWY-7245 // PWY-7269-YEAST // PWY-7119 // PWY-7367,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58252'>58252</a>,164.242,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03172'>C03172</a>,CPD-397
CPD-19512,,,58.078,,CPD-19512
CPD-10472,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:74027'>74027</a>,119.201,,CPD-10472
CPD-14553,PWY-7344 // PWY66-422,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:66914'>66914</a>,564.289,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00052'>C00052</a>,CPD-14553
UDP-GROUP,,,402.148,,UDP-GROUP
CPD-12575,PWY-7343 // TRESYN-PWY // PWY-6773 // MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS // PWY3O-1565 // PWY-7344 // PWY66-422 // PWY-5067,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58885'>58885</a>,564.289,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00029'>C00029</a>,CPD-12575
GDP-GROUP,,,441.187,,GDP-GROUP
DTDP-GROUP,,,400.175,,DTDP-GROUP
CMP-GROUP,,,322.191,,CMP-GROUP
CDP-GROUP,,,401.163,,CDP-GROUP
AMP-GROUP,,,345.208,,AMP-GROUP
CPD-17624,PWY3O-6499 // PWY-5667 // PWY4FS-8 // TRIGLSYN-PWY,,1056.928,,CPD-17624
ADP-GROUP,,,425.188,,ADP-GROUP
CPD3DJ-11366,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60119'>60119</a>,378.468,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06124'>C06124</a>,CPD3DJ-11366
CPD-3725,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60873'>60873</a>,305.16,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02355'>C02355</a>,CPD-3725
CPD-649,PWY-7119,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57939'>57939</a>,380.484,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01120'>C01120</a>,CPD-649
CPD-3713,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60877'>60877</a>,304.176,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C02354'>C02354</a>,CPD-3713
CPD-8619,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87055'>87055</a>,429.662,,CPD-8619
CPD-4702,PWY-6074 // ERGOSTEROL-SYN-PWY,,427.646,,CPD-4702
ZYMOSTEROL,PWY-6074 // PWY-6075 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18252'>18252</a>,384.644,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05437'>C05437</a>,ZYMOSTEROL
CPD-10794,PWY-6689,,635.268,,CPD-10794
LANOSTEROL,PWY-6132 // PWY-6074 // ERGOSTEROL-SYN-PWY // PWY-7424,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16521'>16521</a>,426.724d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01724'>C01724</a>,LANOSTEROL
CPD-9007,PWY-6689,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:76596'>76596</a>,618.26,,CPD-9007
ERGOSTEROL,PWY-7424 // PWY-6075 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16933'>16933</a>,396.655d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01694'>C01694</a>,ERGOSTEROL
ADENOSINE_DIPHOSPHATE_RIBOSE,PWY-6689,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57967'>57967</a>,557.303,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00301'>C00301</a>,ADENOSINE_DIPHOSPHATE_RIBOSE
CPD-8621,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16608'>16608</a>,386.66,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03845'>C03845</a>,CPD-8621
CPD-8618,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87054'>87054</a>,414.67,,CPD-8618
CPD-8617,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87053'>87053</a>,416.686,,CPD-8617
CPD-8612,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87046'>87046</a>,428.697,,CPD-8612
GDP-MANNOSE,PWY-5659 // SPHINGOLIPID-SYN-PWY // PWY-7921 // MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS // PWY3O-123,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57527'>57527</a>,603.329,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00096'>C00096</a>,GDP-MANNOSE
ADP-D-GLUCOSE,PWY-881,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57498'>57498</a>,587.33,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00498'>C00498</a>,ADP-D-GLUCOSE
CPD-8611,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87045'>87045</a>,430.713,,CPD-8611
UTP,PWY-7343 // PWY3O-1565 // UDPNACETYLGALSYN-PWY // PWY-6981 // UDPNAGSYN-YEAST-PWY // PWY-7185 // PYRIMID-RNTSYN-PWY // PWY-7177 // PWY-7176 // PWY-7196 // PWY-7208,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:46398'>46398</a>,480.112,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00075'>C00075</a>,UTP
CPD-8610,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87044'>87044</a>,414.713,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C15915'>C15915</a>,CPD-8610
URACIL,PWY-7183 // PWY-7208 // PWY-6556 // PWY-7196 // PWY-7194 // PWY-7195 // PWY0-163,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17568'>17568</a>,112.088d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00106'>C00106</a>,URACIL
CPD-8609,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:78904'>78904</a>,412.698,,CPD-8609
UDP,PWY3O-1565 // PWY-7184 // PWY-5067 // TRESYN-PWY // PWY-6981 // MANNOSYL-CHITO-DOLICHOL-BIOSYNTHESIS // PWY-6773 // PWY-7185 // PWY-7177 // PYRIMID-RNTSYN-PWY // PWY-7176 // PWY-7196 // PWY-7208,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58223'>58223</a>,401.14,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00015'>C00015</a>,UDP
CPD-8608,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87060'>87060</a>,442.724,,CPD-8608
TTP,PWY-7197 // PWY-7210 // PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37568'>37568</a>,478.139,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00459'>C00459</a>,TTP
CPD-8607,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87057'>87057</a>,444.74,,CPD-8607
TMP,PWY66-385 // PWY3O-697 // PWY-7197 // PWY-7210 // PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63528'>63528</a>,320.195,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00364'>C00364</a>,TMP
CPD-8606,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:28113'>28113</a>,428.74,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05109'>C05109</a>,CPD-8606
TDP,PWY-7197 // PWY-7210 // PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58369'>58369</a>,399.167,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00363'>C00363</a>,TDP
CPD-4580,PWY-6074 // ERGOSTEROL-SYN-PWY,,412.654,,CPD-4580
DUTP,PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61555'>61555</a>,464.112,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00460'>C00460</a>,DUTP
DUMP,PWY-7210 // PWY-7184 // PWY66-385 // PWY3O-697,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:246422'>246422</a>,306.168,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00365'>C00365</a>,DUMP
SIROHYDROCHLORIN,PWY-5194,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58351'>58351</a>,854.779,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05778'>C05778</a>,SIROHYDROCHLORIN
CPD-4579,PWY-6074 // ERGOSTEROL-SYN-PWY,,414.67,,CPD-4579
DUDP,PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:60471'>60471</a>,385.14,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01346'>C01346</a>,DUDP
CPD-4576,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87287'>87287</a>,426.681,,CPD-4576
DCTP,PWY-7197 // PWY-7210 // PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:61481'>61481</a>,463.127,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00458'>C00458</a>,DCTP
CPD-4575,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:87289'>87289</a>,428.697,,CPD-4575
DCMP,PWY-7197 // PWY-7210,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57566'>57566</a>,305.183,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00239'>C00239</a>,DCMP
CPD-4573,PWY-6074 // ERGOSTEROL-SYN-PWY,,440.708,,CPD-4573
DCDP,PWY-7197 // PWY-7210 // PWY-7184,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58593'>58593</a>,384.155,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00705'>C00705</a>,DCDP
CPD-4568,PWY-6074 // ERGOSTEROL-SYN-PWY,,442.724,,CPD-4568
CYTOSINE,PWY-7194 // PWY-7195 // PWY0-163,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16040'>16040</a>,111.103d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00380'>C00380</a>,CYTOSINE
CTP,PWY-7205 // PWY0-163 // PYRIMID-RNTSYN-PWY // PWY-7176 // PWY-7196 // PWY-7208 // PWY-7420 // TRIGLSYN-PWY // PWY-7185 // PWY-7210 // PWY-7184 // PWY-7177 // PWY4FS-6 // PWY3O-259 // PWY-3561 // PWY3O-450 // PWY-5667 // PWY4FS-8 // PWY-6129,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:37563'>37563</a>,479.127,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00063'>C00063</a>,CTP
PSEUDOURIDINE-5-P,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58380'>58380</a>,322.168d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C01168'>C01168</a>,PSEUDOURIDINE-5-P
CPD-3723,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77802'>77802</a>,322.168,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03031'>C03031</a>,CPD-3723
CPD0-1905,PWY-6502,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77896'>77896</a>,519.151,,CPD0-1905
CPD-3710,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77766'>77766</a>,321.183,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03104'>C03104</a>,CPD-3710
CPD-13851,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:77897'>77897</a>,503.152,,CPD-13851
CPD-15778,PWY-7357,,140.141,,CPD-15778
CDP-ETHANOLAMINE,PWY4FS-6 // PWY3O-259,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57876'>57876</a>,445.239,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00570'>C00570</a>,CDP-ETHANOLAMINE
CPD-13578,PWY-6899,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63416'>63416</a>,139.18,,CPD-13578
ADENYLOSUCC,PWY-7219 // PWY-841 // PWY-7229,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:57567'>57567</a>,459.265,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C03794'>C03794</a>,ADENYLOSUCC
CPD-13577,PWY-6899,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:85895'>85895</a>,166.182,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C19872'>C19872</a>,CPD-13577
5-HYDROXY-CTP,,,495.126,,5-HYDROXY-CTP
CPD-12853,,,396.655,,CPD-12853
CDP,PWY-6129 // PWY-7210 // PWY-7184 // TRIGLSYN-PWY // PWY-7420 // PWY-7185 // PWY-7177 // PWY-7205 // PWY-7196 // PWY0-163,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:58069'>58069</a>,400.155,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00112'>C00112</a>,CDP
CPD-12852,,,412.698,,CPD-12852
CHOLESTEROL,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:16113'>16113</a>,386.66d0,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00187'>C00187</a>,CHOLESTEROL
44-DIMETHYL-CHOLESTA-814-24-TRIENOL,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:17813'>17813</a>,410.682,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C11455'>C11455</a>,44-DIMETHYL-CHOLESTA-814-24-TRIENOL
44-DIMETHYL-824-CHOLESTADIENOL,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:18364'>18364</a>,412.698,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05108'>C05108</a>,44-DIMETHYL-824-CHOLESTADIENOL
CPD3O-4151,PWY3O-4108,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:1879'>1879</a>,138.166,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C06044'>C06044</a>,CPD3O-4151
CPD-21128,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:137674'>137674</a>,124.2,,CPD-21128
3-Methyl-Adenines,,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:38635'>38635</a>,149.155,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C00913'>C00913</a>,3-Methyl-Adenines
4-METHYL-824-CHOLESTADIENOL,PWY-6074 // ERGOSTEROL-SYN-PWY,<a href='http://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:1949'>1949</a>,398.671,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?C05103'>C05103</a>,4-METHYL-824-CHOLESTADIENOL
CPD-15233,,,218.05,<a href='http://www.genome.ad.jp/dbget-bin/www_bget?D03158'>D03158</a>,CPD-15233
